,Time,North_Latitude,North_Longitude,South_Latitude,South_Longitude,Centr_Latitude,Centr_Longitude
0,18:20,26°40.6'N,104°06.3'W,25°26.5'N,102°41.2'W,26°03.5'N,103°23.6'W
1,18:22,27°15.0'N,103°32.4'W,26°00.3'N,102°07.8'W,26°37.6'N,102°50.0'W
2,18:24,27°49.4'N,102°58.1'W,26°34.2'N,101°34.1'W,27°11.7'N,102°15.9'W
3,18:26,28°23.8'N,102°23.2'W,27°07.9'N,100°59.8'W,27°45.8'N,101°41.4'W
4,18:28,28°58.1'N,101°47.9'W,27°41.7'N,100°25.1'W,28°19.8'N,101°06.3'W
5,18:30,29°32.5'N,101°11.9'W,28°15.4'N,099°49.8'W,28°53.8'N,100°30.7'W
6,18:32,30°06.8'N,100°35.3'W,28°49.0'N,099°13.9'W,29°27.8'N,099°54.5'W
7,18:34,30°41.0'N,099°58.0'W,29°22.7'N,098°37.4'W,30°01.8'N,099°17.6'W
8,18:36,31°15.3'N,099°19.9'W,29°56.3'N,098°00.2'W,30°35.7'N,098°39.9'W
9,18:38,31°49.5'N,098°41.0'W,30°29.8'N,097°22.1'W,31°09.6'N,098°01.5'W
10,18:40,32°23.7'N,098°01.3'W,31°03.3'N,096°43.3'W,31°43.4'N,097°22.2'W
11,18:42,32°57.9'N,097°20.6'W,31°36.8'N,096°03.6'W,32°17.2'N,096°42.0'W
12,18:44,33°32.0'N,096°38.9'W,32°10.3'N,095°23.0'W,32°51.0'N,096°00.8'W
13,18:46,34°06.2'N,095°56.0'W,32°43.7'N,094°41.3'W,33°24.8'N,095°18.6'W
14,18:48,34°40.3'N,095°12.1'W,33°17.0'N,093°58.5'W,33°58.5'N,094°35.2'W
15,18:50,35°14.3'N,094°26.9'W,33°50.4'N,093°14.6'W,34°32.2'N,093°50.7'W
16,18:52,35°48.4'N,093°40.3'W,34°23.6'N,092°29.4'W,35°05.9'N,093°04.8'W
17,18:54,36°22.4'N,092°52.3'W,34°56.9'N,091°42.9'W,35°39.5'N,092°17.6'W
18,18:56,36°56.3'N,092°02.8'W,35°30.1'N,090°55.0'W,36°13.0'N,091°28.9'W
19,18:58,37°30.2'N,091°11.6'W,36°03.2'N,090°05.5'W,36°46.5'N,090°38.6'W
20,19:00,38°04.0'N,090°18.7'W,36°36.2'N,089°14.4'W,37°20.0'N,089°46.6'W
21,19:02,38°37.8'N,089°23.8'W,37°09.2'N,088°21.6'W,37°53.3'N,088°52.7'W
22,19:04,39°11.4'N,088°26.9'W,37°42.1'N,087°26.8'W,38°26.6'N,087°56.9'W
23,19:06,39°45.0'N,087°27.9'W,38°14.9'N,086°30.0'W,38°59.8'N,086°59.0'W
24,19:08,40°18.5'N,086°26.5'W,38°47.6'N,085°31.1'W,39°32.9'N,085°58.9'W
25,19:10,40°51.8'N,085°22.5'W,39°20.2'N,084°29.8'W,40°05.8'N,084°56.3'W
26,19:12,41°25.0'N,084°15.8'W,39°52.7'N,083°25.9'W,40°38.6'N,083°51.0'W
27,19:14,41°58.1'N,083°06.2'W,40°24.9'N,082°19.3'W,41°11.3'N,082°43.0'W
28,19:16,42°30.9'N,081°53.3'W,40°57.1'N,081°09.8'W,41°43.8'N,081°31.8'W
29,19:18,43°03.5'N,080°36.9'W,41°29.0'N,079°57.0'W,42°16.0'N,080°17.3'W
30,19:20,43°35.9'N,079°16.7'W,42°00.7'N,078°40.7'W,42°48.0'N,078°59.1'W
31,19:22,44°07.9'N,077°52.4'W,42°32.1'N,077°20.6'W,43°19.8'N,077°36.9'W
32,19:24,44°39.6'N,076°23.4'W,43°03.2'N,075°56.3'W,43°51.2'N,076°10.3'W
33,19:26,45°10.8'N,074°49.4'W,43°33.9'N,074°27.4'W,44°22.2'N,074°39.0'W
34,19:28,45°41.6'N,073°09.8'W,44°04.2'N,072°53.3'W,44°52.7'N,073°02.2'W
35,19:30,46°11.8'N,071°23.9'W,44°34.1'N,071°13.6'W,45°22.7'N,071°19.5'W
36,19:32,46°41.4'N,069°31.0'W,45°03.3'N,069°27.5'W,45°52.1'N,069°30.1'W
37,19:34,47°10.1'N,067°30.2'W,45°31.8'N,067°34.1'W,46°20.7'N,067°33.1'W
38,19:36,47°37.8'N,065°20.1'W,45°59.6'N,065°32.6'W,46°48.5'N,065°27.5'W
39,19:38,48°04.3'N,062°59.5'W,46°26.3'N,063°21.5'W,47°15.1'N,063°11.8'W
40,19:40,48°29.3'N,060°26.4'W,46°51.8'N,060°59.2'W,47°40.4'N,060°44.3'W
